Cantonese (Traditional),Cantonese (Simplified),Jyutping,Yale,English 1,English 2,Tags
我想唱港幣,我想唱港币,ngo5 soeng2 coeng3 gong2-bai6,ngóh séung cheung góng-baih,I want to exchange (currency) for HK dollars.,,
我想用美金唱港幣,我想用美金唱港币,ngo5 soeng2 jung6 mei5-gam1 coeng3 gong2-bai6,ngóh séung yuhng méih-gām cheung góng-baih,I want to use US dollars to exchange for HK dollars,,
今日1蚊美金兌到7蚊8毫2港紙。,今日1蚊美金兑到7蚊8毫2港纸。,gam1 jat6 1 man1 mei5 gam1 deoi3 dou3 7 man1 8 hou4 2 gong2 zi2,gām yaht 1 mān méih gām deui dou 7 mān 8 hòuh 2 góng jí,Today $1 USD can be exchanged for $7.82 HKD.,,
呢個幾錢？,呢个几钱？,li1-go3 gei2-cin2?,lī-go géi-chín?,How much is this?,,
呢個$15.70。,呢个$15.70。,li1-go3 sap6-ng5 man1 cat1 hou4,lī-go sahp-ńgh mān chāt hòuh,This is $15.70,,
1個仙,1个仙,jat1-go3 sin1,yāt-go sīn,$0.01 ,,
3個仙,3个仙,saam1-go3 sin1,sāam-go sīn,$0.03 ,,
5個仙,5个仙,ng5-go3 sin1,ńgh-go sīn,$0.05 ,,
八達通 (卡),八达通 (卡),baat3-daat6-tung1 (kaa1),baat-daaht-tūng (kā),the Octopus (card),,
機場快線,机场快线,gei1-ceong4 faai3-sin3,gēi-chèohng faai-sin,Airline express,,
站,站,zaam6,jaamh,stop,station,
下個站,下个站,haa6-go3 zaam6,hah-go jaahm,next stop,,
地址,地址,dei6-zi2,deih-jí,address,,
我可唔可以用八達通卡呀？,我可唔可以用八达通卡呀？,ngo5 ho2-m4-ho2-ji5 jung6 baat3-daat6-tung1 kaa1 aa3?,ngóh hó-m̀h-hó-yíh yuhng baat-daaht-tūng kā a?,Can I use the Octopus card?,,
邊度可以搭機場快線呀？,边度可以搭机场快线呀？,bin1-dou6 ho2-ji5 daap3 gei1-coeng4 faai3-sin3 aa3?,bīn douh hó yíh daap gēi cheùhng faai sin a?,Where can I take the airline express?,,
邊度可以搭機場快線嘅巴士呀？,边度可以搭机场快线嘅巴士呀？,bin1-dou6 ho2-ji5 daap3 gei1-coeng4 faai3-sin3 ge3 baa1-si2 aa3?,bīn-douh hó-yíh daap gēi-chèuhng faai-sin ge bā-sí a?,Where can I take the airline express bus?,,
呢部巴士去邊度呀？,呢部巴士去边度呀？,li1-bou6 baa1-si2 heoi3 bin1-dou6 aa3?,lī-bouh bā-sí heui bīn-douh a?,Where does this bus go?,,
下個站係咩呀？,下个站系咩呀？,haa6-go3 zaam6 hai6 me1 aa3?,hah-go jaahm haih mē a?,What is the next stop?,,
呢部車去唔去左敦呀？,呢部车去唔去左敦呀？,li1-bou6 ce1 heoi3-m4-heoi3 zo2-deon1 aa3?,lī-bouh chē heui-m̀h-heui jó-dēun a?,Does this bus/train go to Jordan?,,
唔好意思，你知唔知呢部車下個站係咩呀？,唔好意思，你知唔知呢部车下个站系咩呀？,"m4-hou2-ji3-si1, lei5 zi1-m4-zi1 li1-bou6 ce1 haa6-go3 zaam6 hai6 me1 aa3?","m̀h-hóu-yi-sī, léih jī-m̀h-jī lī-bouh chē hah-go jaahm haih mē a?","Excuse me, do you know what is the next stop on this bus/train?",,
呢個係我嘅地址。,呢个系我嘅地址。,li1-go3 hai6 ngo5 ge3 dei6-zi2,lī-go haih ngóh ge deih-jí,This is my address,,
你知唔知行李可以放邊度呀,你知唔知行李可以放边度呀,lei5 zi1-m4-zi1 hang4-lei5 ho2-ji5 fong3 hai2 bin1-dou6 aa3,léih jī-m̀h-jī hàhng-léih hó-yíh fong hái bīn-douh a,Do you know where the luggage can be placed,,
上面,上面,soeng6-min6,seuhng-mihn,On top,,
你好先生， 你嘅行李可以放喺上面。,你好先生， 你嘅行李可以放喺上面。,"lei5-hou2 sin1-saang1, lei5 ge3 hang4-lei5 ho2-ji2 fong3 hai2 soeng6-min6","léih-hóu sīn-sāang, léih ge hàhng-léih hó-yí fong hái seuhng-mihn","Hi sir, you can put your luggage on top",,
唔使客氣,唔使客气,m4-sai2 haak3-hei3,m̀h-sái haak-hei,You're welcome,,
我哋要買八達通卡。,我哋要买八达通卡。,ngo5-dei6 jiu3 maai5 baat3-daat6-tung1 kaa1,ngóh-deih yiu máaih baat-daaht-tūng kā,We have to buy an Octopus card,,
點解呀？,点解呀？,dim2-gaai2 aa3,dím-gáai a,Why?,,
腳,脚,goek3,geuk,Foot,,Cantonese::Lessons
耳仔,耳仔,yi5 zai2,yíh jái,ear,,Cantonese::Lessons
你有冇...?,你有冇...?,nei5 yau5 mou5,néih yáuh móuh,Do you have...?,,Cantonese::Lessons
我唔食,我唔食,ngo5 m4 sik6,ngóh mh sihk,I don't eat,,Cantonese::Lessons
我冇食,我冇食,ngo5 mou5 sik6,ngóh móuh sihk,I did not eat,,Cantonese::Lessons
乜嘢,乜嘢,mat1 ye5,māt yéh,what?,,Cantonese::Lessons
一本書,一本书,yat1 bun2 syu1,yāt bún syū,one book,,Cantonese::Lessons
隻,只,zek3,jek,Measure word: An item that is part of a pair or a group,"also used for animals e.g. a glove, a shoe, an eye, a watch",Cantonese::Lessons
手指,手指,sau2 zi2,sáu jí,fingers,,Cantonese::Lessons
腳趾,脚趾,geuk3 zi2,geuk jí,toes,,Cantonese::Lessons
條,条,tiu4,tìuh,measure word for fish,,Cantonese::Lessons
樽,樽,zeun1,jēun,bottle,,Cantonese::Lessons
盒,盒,hap6,hahp,box / carton,,Cantonese::Lessons
一大杯啤酒,一大杯啤酒,yat1 dai6 bui1 be1 zau2,yāt daih būi bē jáu,one large beer,,Cantonese::Lessons
張,张,zeung1,jēung,"counting word for flat objects such as paper, photographs, tables",,Cantonese::Lessons
一張紙,一张纸,yat1 zeung1 zi2,yāt jēung jí,one piece of paper,,Cantonese::Lessons
台,台,toi2,tói,table,,Cantonese::Lessons
床,床,chong4,chhòngh,bed,,Cantonese::Lessons
梳化,梳化,so1 fa2,sō fá,sofa,,Cantonese::Lessons
呢啲,呢啲,nei1 di1 / ni1 di1,nēi dī / nī dī,these,,Cantonese::Lessons
果,果,go2,gó,that,,Cantonese::Lessons
嗰啲,𠮶啲,go2 di1,gó dī,those,,Cantonese::Lessons Cantonese::Pronouns
呢個平果,呢个平果,ni1 go3 ping4 gwo2,nī go pìngh gwó,this apple,,Cantonese::Lessons
呢啲平果,呢啲平果,ni1 di1 ping4 gwo2,nī dī pìngh gwó,these apples,,Cantonese::Lessons
嗰個人,𠮶个人,go2 go3 yan4,gó go yành,that person,,Cantonese::Lessons
嗰啲人,𠮶啲人,go2 di1 yan4,gó dī yành,those people,,Cantonese::Lessons
呢排,呢排,ni1 paai2*4,nī páai*4,"lately, recently",,Cantonese::Lessons
其他,其他,kei4 ta1,kèih tā,others,,Cantonese::Lessons
城市,城市,sing4 si5,sìhng síh,City,,Cantonese::Lessons
好飲,好饮,hou2 jam2,hóu yám,delicious (drink),,Cantonese::Lessons
長,长,ceung4,cheùhng,long,,Cantonese::Lessons
筆,笔,bat1,bāt,pen,,Cantonese::Lessons
頭髮,头发,tau4 faat3,tàuh faat,hair,,Cantonese::Lessons
繩,绳,sing2*4,síng*4,string,,Cantonese::Lessons
踩單車,踩单车,caai2 daan1 ce1,cháai dāan chē,to ride a bicycle,,Cantonese::Lessons
樹林,树林,syu6 lam4,syuh làmh,"the woods, small forest",,Cantonese::Lessons
森林,森林,sam1 lam4,sām làmh,large forest,,Cantonese::Lessons
訓覺,训觉,fan3 gaau3,fan gaau,to sleep,,Cantonese::Lessons
上晝,上昼,seung6 zau3,seungh jau,morning (3am-11am),,Cantonese::Lessons
下晝,下昼,haa6 zau3,hah jau,afternoon (1pm-6pm),,Cantonese::Lessons
夜晚,夜晚,je6 maan5,yeh máanh,night,,Cantonese::Lessons
凌晨,凌晨,ling4 san4,lìngh sành,early morning,,Cantonese::Lessons
周末,周末,zau1 mut6,jāu muht,weekend,,Cantonese::Lessons
呢排,呢排,ni1 paai2,nī páai,recently / lately,,Cantonese::Lessons
得閑,得闲,dak1 haan4,dāk hàanh,to be free / available,,Cantonese::Lessons
唔得閑,唔得闲,m4 daak1 haan4,mh dāak hàanh,to not be free / not have time / not available,,Cantonese::Lessons
香蕉,香蕉,heung1 ziu1,hēung jīu,banana,,Cantonese::Lessons
豬肉,猪肉,zyu1 yuk6,jyū yuhk,pork,,Cantonese::Lessons
羊肉,羊肉,yeung4 yuk6,yèungh yuhk,lamb meat,,Cantonese::Lessons
番工,番工,faan1 gung1,fāan gūng,to go to work (office),,Cantonese::Lessons
放工,放工,fong3 gung1,fong gūng,leave work,,Cantonese::Lessons
返學,返学,faan1 hok6,fāan hohk,go to school,,Cantonese::Lessons
放學,放学,fong3 hok6,fong hohk,leave school,,Cantonese::Lessons
上課,上课,soeng5 fo3,séungh fo,attend class,,Cantonese::Lessons
落課,落课,lok6 fo3,lohk fo,finish class,,Cantonese::Lessons
加班,加班,ga1 baan1,gā bāan,to work overtime,,Cantonese::Lessons
因為,因为,yan1 wai6,yān waih,because,,Cantonese::Lessons
賺更多錢,赚更多钱,zaan6 gang3 do1 cin2*4,jaahn gang dō chín*4,to make more money,,Cantonese::Lessons
好多,好多,hou2 do1,hóu dō,many,,Cantonese::Lessons
做嘢,做嘢,zou6 ye5,jouh yéh,work (home / office),,Cantonese::Lessons
彈結他,弹结他,taan4 git1 ta1,tàanh gīt tā,to play guitar,,Cantonese::Lessons
睇電視,睇电视,tai2 din6 si6,tái dinh sih,to watch tv,,Cantonese::Lessons
睇 YouTube,睇 YouTube,tai2 Youtube,tái Youtube,to watch youtube,,Cantonese::Lessons
煮飯,煮饭,zyu2 faan6,jyú faanh,to cook (rice or any meal),,Cantonese::Lessons
煮整,煮整,zyu2 zing2,jyú jíng,to cook sth.,,Cantonese::Lessons
咖哩,咖哩,ga3 lei1,ga lēi,curry,,Cantonese::Lessons
扁豆,扁豆,bin2 dau6,bín dauh,Hyacinth bean,,Cantonese::Lessons
薯仔,薯仔,syu4 zai2,syùh jái,potato,,Cantonese::Lessons leech
青瓜,青瓜,ceng1 gwa1,chēng gwā,cucumber,,Cantonese::Lessons
南瓜,南瓜,naam4 gwa1,nàamh gwā,pumpkin,,Cantonese::Lessons
生菜,生菜,saang1 choi3,sāang chhoi,lettuce,,Cantonese::Lessons
蘑菇,蘑菇,mo4 gu1,mòh gū,mushroom,,Cantonese::Lessons
彩椒,彩椒,choi2 ziu1,chhói jīu,bell pepper,,Cantonese::Lessons
番茄,番茄,faan1 kei2,fāan kéi,tomato,,Cantonese::Lessons
紅色,红色,hung4 sik1,hùngh sīk,red,,Cantonese::Lessons
粉色,粉色,fan2 sik1,fán sīk,pink,,Cantonese::Lessons
灰色,灰色,fui1 sik1,fūi sīk,grey,,Cantonese::Lessons
棕色,棕色,zung1 sik1,jūng sīk,brown,,Cantonese::Lessons
橙色,橙色,chaang2 sik1,chháang sīk,orange,,Cantonese::Lessons
深,深,sam1,sām,dark (add before color),,Cantonese::Lessons
淺,浅,cin2,chín,light (add before color),,Cantonese::Lessons
揸車,揸车,zaa1 che1,jā chhē,to drive,,Cantonese::Lessons
開車,开车,hoi1 ce1,hōi chē,to start / drive a car,,Cantonese::Lessons
蔥油餅,葱油饼,chung1 yau4 beng2,chūng yàuh/yáu béng,Scallion Pancakes or Green Onion Pie,,Cantonese::Lessons
我冇....過....,我冇....过....,ngo5 mou5 + verb + gwo3 + sth,ngóh móuh + verb + gwo + sth,I have never .... before,,Cantonese::Lessons
買樓,买楼,maai5 lau2,máaih láu,buy property,,Cantonese::Lessons
介乎法國與旺角的詩意,介乎法国与旺角的诗意,gaai3 fu4 faat3 gwok3 jyu5 wong6 gok3 dik1 si1 ji3,gaai fùh faat gwok yúh wongh gok dīk sī yi,poetics – something between montparnasse and mongkok,,
失業抗爭歌,失业抗争歌,sat1 jip6 kong3 zang1 go1,sāt yihp kong jāng gō,Anthem of the Unemployment Resistance,,
今日我七點半起左新,今日我七点半起左新,gam1 jat6 ngo5 cat1 dim2 bun3 hei2 zo2 san1,gām yaht ngóh chāt dím bun héi jó sān,Today I woke up at 7:30am.,,Cantonese::Lessons
今日我冇食早餐,今日我冇食早餐,gam1 jat6 ngo5 mou5 sik6 zou2 caan1,gām yaht ngóh móuh sihk jóu chāan,Today I did not eat breakfast,,Cantonese::Lessons
今朝我飲咗綠茶,今朝我饮咗绿茶,gam1 ziu1 ngo5 jam2 zo2 luk6 caa4,gām jīu ngóh yám jó luhk chàh,This morning I drank green tea.,,Cantonese::Lessons
今朝我學左德文,今朝我学左德文,gam1 ciu4 ngo5 hok6 zo2 dak1 man4,gām chìuh ngóh hohk jó dāk mành,This morning I studied German.,,Cantonese::Lessons
今朝我上咗一堂德文課。,今朝我上咗一堂德文课。,gam1 ciu4 ngo5 soeng5 zo2 jat1 tong4 dak1 man4 fo3,gām chìuh ngóh séungh jó yāt tòngh dāk mành fo,This morning I had a German lesson.,,Cantonese::Lessons
我嘅德文已經幾好啦,我嘅德文已经几好啦,ngo5 ge3 dak1 man4 ji5 ging1 gei2 hou2 laa1,ngóh ge dāk mành yíh gīng géi hóu lā,My German is already pretty good.,,Cantonese::Lessons
今日我午餐食左拉麵,今日我午餐食左拉面,gam1 jat6 ngo5 ng5 caan1 sik6 zo2 laai1 min6,gām yaht ngóh ngh chāan sihk jó lāai minh,Today I ate ramen for lunch.,,Cantonese::Lessons
我開車去波士頓同朋友買個平啲嘅背囊,我开车去波士顿同朋友买个平啲嘅背囊,ngo5 hoi1 ce1 heoi3 bo1 si6 deon6 tung4 pang4 jau5 maai5 go3 ping4 di1 ge3 bui3 nong4,ngóh hōi chē heui bō sih deunh tùngh pàngh yáuh máaih go pìngh dī ge bui nòngh,I drove to Boston to buy a backpack from a friend for cheap.,,Cantonese::Lessons
今日晏晝我學左廣東話,今日晏昼我学左广东话,gam1 jat6 aan3 zau3 ngo5 hok6 zo2 gwong2 dung1 waa6,gām yaht aan jau ngóh hohk jó gwóng dūng wah,This afternoon I studied Cantonese,,Cantonese::Lessons
晚餐我食左牛肉同抱子甘藍,晚餐我食左牛肉同抱子甘蓝,maan5 caan1 ngo5 sik6 zo2 ngau4 juk6 tung4 pou5 zi2 gam1 laam4,máanh chāan ngóh sihk jó ngàuh yuhk tùngh póuh jí gām làamh,I ate beef and brussel sprouts for dinner,,Cantonese::Lessons
琴日我八點半起咗身,琴日我八点半起咗身,kam4 jat6 ngo5 baat3 dim2 bun3 hei2 zo2 san1,kàmh yaht ngóh baat dím bun héi jó sān,Yesterday I woke up at 8:30am.,,Cantonese::Lessons
琴日我食咗早餐飲咗咖啡同埋喺咖啡店學咗廣東話,琴日我食咗早餐饮咗咖啡同埋喺咖啡店学咗广东话,kam4 jat6 ngo5 sik6 zo2 zou2 caan1 jam2 zo2 gaa1 fe1 tung4 mai4 hai2 gaa1 fe1 dim3 hok6 zo2 gwong2 dung1 waa6,kàmh yaht ngóh sihk jó jóu chāan yám jó gā fē tùngh màih hái gā fē dim hohk jó gwóng dūng wah,"Yesterday I ate breakfast, drank coffee, and studied Cantonese at the cafe.",,Cantonese::Lessons
之後我同朋友食咗午餐,之后我同朋友食咗午餐,zi1 hau6 ngo5 tung4 pang4 jau5 sik6 zo2 ng5 caan1,jī hauh ngóh tùngh pàngh yáuh sihk jó ngh chāan,Then I had lunch with a friend.,,Cantonese::Lessons
聽日我會六點起身,听日我会六点起身,ting3 jat6 ngo5 wui2 luk6 dim2 hei2 san1,ting yaht ngóh wúi luhk dím héi sān,Tomorrow I will wake up at 6am.,,Cantonese::Lessons
喺七月十四號我會同我個教授同佢屋企人喺波士頓食點心,喺七月十四号我会同我个教授同佢屋企人喺波士顿食点心,hai2 cat1 jyut6 sap6 sei4 hou6 ngo5 wui2 tung4 ngo5 go3 gaau3 sau6 tung4 keoi5 nguk1 kei5 jan4 hai2 bo1 si6 deon6 sik6 dim2 sam1 。,hái chāt yuht sahp sèih houh ngóh wúi tùngh ngóh go gaau sauh tùngh kéuih ngūk kéih yành hái bō sih deunh sihk dím sām,On July 14th I will eat DimSum with my professor and his family in Boston.,,Cantonese::Lessons
聽日上昼十一點半食晏,听日上昼十一点半食晏,ting3 jat6 soeng6 zau3 sap6 jat1 dim2 bun3 sik6 ngaan3,ting yaht seungh jau sahp yāt dím bun sihk ngaan,I will eat lunch at 11:30am tomorrow.,,Cantonese::Lessons
你得閑嘅時候鍾意做乜嘢嘅愛好,你得闲嘅时候钟意做乜嘢嘅爱好,nei5 dak1 haan4 ge3 si4 hau6 zung1 yi3 zou6 mat1 ye5 ge3 oi3 hou3,néih dāk hàahn ge sìh hauh jūng yi jouh māt yéh ge oi hóu,What hobbies do you enjoy in your free time (literal:You free when like to do what hobbies?),,Cantonese Cantonese::Lessons
你得閒嘅時候鍾意做乜嘢嘅愛好,你得闲嘅时候钟意做乜嘢嘅爱好,nei5 dak1 haan4 ge3 si4 hau6 zung1 yi3 zou6 mat1 ye5 ge3 oi3 hou3?,néih dāk hàahn ge sìh hauh jūng yi jouh māt yéh ge oi hou?,"When you are free, what hobbies do you like to do?",,Cantonese::Lessons
"我得閒嘅時候, 鍾意同朋友玩同埋睇紀錄片","我得闲嘅时候, 钟意同朋友玩同埋睇纪录片","ngo5 dak1 haan4 ge3 si4 hau6, zung1 ji3 tung4 pang4 yau5 waan2 tung4 maai4 tai2 gei2 luk6 pin3*2","ngóh dāk hàahn ge sìh hauh, jūng yi tùhng pàhng yáuh wáan tùhng màaih tái géi luhk pin*2","When I am free, I like to hang out with friends and watch documentaries.",,Cantonese::Lessons
"我得閒嘅時候, 鍾意休息同埋飲茶","我得闲嘅时候, 钟意休息同埋饮茶","ngo5 dak1 haan4 ge3 si4 hau6 , zung1 ji3 jau1 sik1 tung4 maai4 jam2 caa4","ngóh dāk hàahn ge sìh hauh, jūng yi yāu sīk tùhng màaih yám chàh","When I am free, I like to rest and drink tea.",,Cantonese::Lessons
"我得閒嘅时候, 锺意踩單車同埋彈結他","我得闲嘅时候, 锺意踩单车同埋弹结他","ngo5 dak1 haan4 ge3 时 hau6 , zung1 ji3 caai2 daan1 ce1 tung4 maai4 taan4 git3 taa1","ngóh dāk hàanh ge 时 hauh , jūng yi cháai dāan chē tùngh màaih tàanh git tā","When I am free, I like to ride my bike and play guitar",,Cantonese::Lessons
你對你嘅愛好有興趣幾耐啦？,你对你嘅爱好有兴趣几耐啦？,nei5 deoi3 nei5 ge3 oi3 hou2 jau5 hing1 ceoi3 gei2 noi6 laa1?,néih deui néih ge ngoi hóu yáuh hing cheui géi noih lā ?,How long have you been interested in your hobby?,,Cantonese Cantonese::Lessons
我對人類學有興趣六年,我对人類學有兴趣六年,ngo5 deoi3 jan4 leoi6 hok6 yau5 hing3 ceoi3 luk6 nin4,ngóh deui yành leuih hohk yáuh hing cheui luhk nình,I have been interested in Anthropology for six years.,,Cantonese::Lessons
我對踩單車同埋行山有興趣多年,我对踩单车同埋行山有兴趣多年,ngo5 deoi3 caai2 daan1 ce1 tung4 maai4 haang4 saan1 yau5 hing3 ceoi3 do1 nin4,ngóh deui cháai dāan chē tùhng màaih hàahng sāan yáuh hing cheui dō nìhn,I have been interested in bike riding and hiking for many years.,,Cantonese::Lessons
我對花園有興趣二十一年,我对花园有兴趣二十一年,ngo5 deoi3 fat1 yun2 yau5 hing3 ceoi3 ji6 sap6 jat1 nin4,ngóh deui fā yún yáuh hing cheui yih sahp yāt nìhn,I’ve been interested in gardening for 21 years.,,Cantonese::Lessons
我對義工有興趣兩年,我对义工有兴趣两年,ngo5 deoi3 ji6 gung1 yau5 hing3 ceoi3 loeng5 nin4,ngóh deui yih gūng yaúh hing cheui leúhng nìhn,I have been interested in volunteer work for two years.,,Cantonese::Lessons
係我嘅兴趣之一,系我嘅兴趣之一,hai6 ngo5 ge3 兴 ceoi3 zi1 jat1,haih ngóh ge 兴 cheui jī yāt,....is one of my interests,,Cantonese::Lessons
佛教係我嘅興趣之一,佛教系我嘅兴趣之一,fat6 gaau3 hai6 ngo5 ge3 hing3 ceoi3 zi1 yat1,faht gaau haih ngóh ge hing cheui jī yāt,Buddhism is one of my interests,,Cantonese Cantonese::Lessons
人類學係我嘅興趣之一,人类学系我嘅兴趣之一,jan4 leoi6 hok6 hai6 ngo5 ge3 hing3 ceoi3 zi1 yat1,yàhn leuih hohk haih ngóh ge hing cheui jī yāt,Anthropology is one of my interests,,Cantonese Cantonese::Lessons
詩歌係我嘅興趣之一,诗歌系我嘅兴趣之一,si1 go1 hai6 ngo5 ge3 hing3 ceoi3 zi1 yat1,sī gō haih ngóh ge hing cheui jī yāt,Poetry is one of my interests,,Cantonese::Lessons
你中唔中意你嘅城市啊？點解？,你中唔中意你嘅城市啊？点解？,nei5 zung1 m4 zung1 ji3 nei5 ge3 sing4 si5 aa1 ？dim2 gaai2 ？,néih jūng m̀h jūng yi néih ge sìhng síh ā？dím gáai？,Do you like your city? Why?,,Cantonese::Lessons
我鍾意我嘅城市，因爲呢度好方便。,我钟意我嘅城市，因为呢度好方便。,"ngo5 zung1 ji3 ngo5 ge3 sing4 si5, jan1 wai6 ni1 dou6 hou2 fong1 bin6.","ngóh jūng yi ngóh ge sìhng síh, yān waih nī douh hóu fōng bihn",I like my city because it's very convenient here.,,Cantonese::Lessons
我鍾意呢度，因爲呢度啲人好好。,我钟意呢度，因为呢度啲人好好。,"ngo5 zung1 ji3 ni1 dou6, jan1 wai6 ni1 dou6 di1 jan4 hou2 hou2",ngóh jūng yi nī douh]，yān waih nī douh dī yàhn hóu hóu,I like it here because the people are nice.,,Cantonese::Lessons
因爲,因为,jan1 wai6,yān waih,Because,,Cantonese::Lessons
所以,所以,so2 ji5,só yíh,therefore,,Cantonese::Adverbs Cantonese::Lessons
我好鍾意讀書,我好钟意读书,ngo5 hou2 zung1 yi3 duk6 syu1.,ngóh hóu jūng yi duhk syū,"I really enjoy
reading",,Cantonese::Lessons
得閒嘅時候，我會聽音樂放鬆嚇,得闲嘅时候，我会听音乐放松吓,dak1 haan4 ge3 si4 hau6 ，ngo5 wui2 ting3 jam1 lok6 fong3 sung1 haak3,dāk hàahn ge sìh hauh，ngóh wúi tīng yām ngohk fong sūng haak,"In my free time, I
listen to music to relax",,Cantonese::Lessons
你鍾意睇咩類型嘅電影？,你钟意睇咩类型嘅电影？,nei5 zung1 ji3 tai2 me1 leoi6 ying4 ge3 din6 ying2 ？,néih jūng yi tái mē leuih yìhng ge dihn yíng？,"What type of movies
do you like to watch?",,Cantonese::Lessons
畫畫系我嘅興趣之一,画画系我嘅兴趣之一,waa2 waa2 hai6 ngo5 ge3 hing1 ceoi3 zi1 jat1,waahk wá haih ngóh ge hing cheui jī yāt,Drawing is one of my interests,,Cantonese::Lessons
我鍾意寫小說,我钟意写小说,ngo5 zung1 ji3 se2 siu2 syut3,ngóh jūng yi sé síu syut,I enjoy writing novels,,Cantonese::Lessons
我鍾意四圍去旅行,我钟意四围去旅行,ngo5 zung1 yi3 sei3 wai4 heoi3 leoi5 hang4,ngóh jūng yi sei wàih heui léuih hàhng,"I love traveling
around",,Cantonese::Lessons
做運動對身體好有益,做运动对身体好有益,zou6 wan6 dung6 deoi3 san1 tai2 hou2 jau5 jik1,jouh wahn duhng deui sān tái hóu yáuh yīk,"Doing sports is very
beneficial for the body",,Cantonese::Lessons
我鍾意煮新嘅菜式,我钟意煮新嘅菜式,ngo5 zung1 yi3 zyu2 san1 ge3 coi3 sik1,ngóh jūng yi jyú sān ge choi sīk,"I enjoy cooking new
dishes",,Cantonese::Lessons
"我得閒嘅時候, 鍾意睇書同埋聽音樂","我得闲嘅时候, 钟意睇书同埋听音乐","ngo5 dak1 haan4 ge3 si4 hau6 , zung1 ji3 tai2 syu1 tung4 maai4 ting3 jam1 lok6","ngóh dāk hàahn ge sìh hauh, jūng yi tái syū tùhng màaih tīng yām ngohk","when I’m free , I enjoy reading and listening to music",,Cantonese::Lessons
得閒嘅時候,得闲嘅时候,dak1 haan4 ge3 si4 hau6,dāk hàah ge sìh hauh,In one's free time,,Cantonese::Lessons
你對你嘅愛好有興趣幾耐啦 ?,你对你嘅爱好有兴趣几耐啦,nei5 deoi3 nei5 ge3 ngoi3 hou2 jau5 hing1 ceoi3 gei2 noi6 laa1 ?,néih deui néih ge oi hóu yáuh hing cheui géi noih lā ?,How long have you been interested in your hobbies?,,Cantonese::Lessons
對,对,deoi3,deui,about / regarding,,Cantonese::Lessons
興趣,兴趣,hing3 ceoi3,hing cheui,interest,,Cantonese::Lessons
我對畫畫有興趣五年,我对画画有兴趣五年,ngo5 deoi3 waa2 waa2 jau5 hing1 ceoi3 ng5 nin4,ngóh deui waahk wá yáuh hing cheui ńgh nìhn,I've been interested in drawing for five years,,Cantonese::Lessons
感興趣,感兴趣,gam2 hing3 ceoi3,gám hing cheui,Interested,,Cantonese::Lessons
我對音樂感興趣,我对音乐感兴趣,ngo5 deoi3 jam1 lok6 gam2 hing1 ceoi3,ngóh deui yām ngohk gám hing cheui,I am very interested in music,,Cantonese::Lessons
我從細個開始就喜歡音樂,我从细个开始就喜欢音乐,ngo5 cung4 sai3 go3 hoi1 ci2 zau6 hei2 fun1 jam1 lok6,ngóh chùhng sai go hōi chí jauh héi fūn yām ngohk,"I since young start to
like music",,Cantonese::Lessons
你鍾意室內定係戶外嘅活動,你锺意室内定系户外嘅活动,nei5 zung1 ji3 sat1 noi6 ding6 hai6 wu6 ngoi6 ge3 wut6 dung6,néih jūng yi sāt noih dihng haih wuh ngoih ge wuht duhng,Do you prefer indoor or outdoor hobbies?,,Cantonese::Lessons
我鍾意戶外嘅活動，例如行山同跑步,我钟意户外嘅活动，例如行山同跑步,ngo5 zung1 ji3 wu6 ngoi6 ge3 wut6 dung6 ，lai6 jyu4 hang4 saan1 tung4 paau2 bou6,"ngóh jūng yi wuh ngoih ge wuht duhng, laih yùh hàahng sāan tùhng páau bouh","I prefer outdoor activities, like hiking
and running",,Cantonese::Lessons
比如,比如,bei2 yu4,béi yùh,for example,,Cantonese::Lessons
未來有乜嘢新嘅愛好你想試嚇 ?,未来有乜嘢新嘅爱好你想试吓 ?,mei6 loi4 jau5 mat1 je5 san1 ge3 ngoi3 hou2 nei5 soeng2 si3 haak3 ?,meih lòih yáuh māt yéh sān ge oi hóu néih séung si haak ?,"Are there any new hobbies you would like to try in the
future (literal: future have what new hobbies you want to try) ?",,Cantonese::Lessons
踢波,踢波,tek3 bo1,tek bō,to play soccer,,Cantonese::Lessons
潛水,潜水,cim4 seoi2,chìhm séui,Diving,,Cantonese::Lessons
數學,数学,sou3 hok6,sou hohk,Math,,Cantonese::Lessons
我想試嚇學打網球,我想试吓学打网球,ngo5 soeng2 si3 haa5 hok6 daa2 mong5 kau4,ngóh séung si haak hohk dá móhng kàuh,I want to try learning tennis,,Cantonese::Lessons
有冇啲以前鍾意嘅愛好而家唔再鍾意 ?,有冇啲以前钟意嘅爱好而家唔再钟意,yau5 mou5 di1 yi5 cin4 zung1 yi3 ge3 oi3 hou3 yi4 gaa1 m4 zoi3 zung1 yi3 ?,yáuh móuh dī yíh chìhn jūng yi ge oi hóu yìh gā m̀h joi jūng yi ?,Are there any hobbies you used to enjoy but don't anymore? (literal: have not have some before like hobbies now not anymore like?),,Cantonese::Lessons
早唞,早唞,zou2 tau2,jóu táu,Goodnight,,Cantonese::Phrase
你叫咩名,你叫咩名,nei5 giu3 me1 meng2?,néih giu mē méng?,What is your name? (casual),,Cantonese::Phrase
點稱呼？,点称呼？,dim2 cing1 fu1?,dím chīng fū?,What is your name? (formal),,Cantonese::Phrase
好耐冇見,好耐冇见,hou2 noi6 mou5 gin3,hóu noih móuh gin,Long time no see,,Cantonese::Phrase
