English,Arabic,Bengali,Chinese (Traditional),Farsi,French,German,Pashto,Portuguese,Spanish,Swahili,Turkish,Ukrainian,Urdu,Part of Speech,Example sentence,Grammar explanation,
Get the hang of it,يتقن الأمر,কৌশল রপ্ত করা,掌握訣竅,یاد گرفتن مهارت,prendre le coup,den Dreh rausbekommen,عادت کېدل,pegar o jeito,cogerle el truco,kuzoea,kavramak,освоїти,مہارت حاصل کرنا,idiom,It took me a while to get the hang of driving stick shift.,To learn how to do something properly.,
Ghosting,التجاهل المفاجئ,হঠাৎ যোগাযোগ বন্ধ করা,突然失聯,ناپدید شدن ناگهانی,ghosting,Ghosting,ناڅاپي پرېکون,sumiço digital,ghosting,kupotea ghafla,hayalet gibi kaybolma,ігнорування без пояснення,اچانک رابطہ ختم کرنا,noun,Ghosting has become common in online dating culture.,Suddenly ending communication without explanation.,
Git repository,مستودع جيت,গিট রিপোজিটরি,Git 儲存庫,مخزن گیت,dépôt Git,Git-Repository,ګیټ زېرمه,repositório Git,repositorio Git,hazina ya Git,Git deposu,репозиторій Git,گٹ ریپوزٹری,noun,The code is stored in a shared Git repository.,A storage location for version-controlled source code.,
Give it a shot,يجرب,একবার চেষ্টা করা,試一試,امتحان کردن,tenter sa chance,versuchen,هڅه کول,tentar,intentarlo,kujaribu,bir denemek,спробувати,کوشش کرنا,idiom,"I’ve never cooked Thai food, but I’ll give it a shot.",To attempt something.,
Give someone the benefit of the doubt,يفترض حسن النية,সন্দেহের সুবিধা দেওয়া,往好處想,حسن نیت فرض کردن,accorder le bénéfice du doute,im Zweifel für jemanden entscheiden,ښه ګومان کول,dar o benefício da dúvida,dar el beneficio de la duda,kutoa nafasi ya kuaminika,şüpheden yararlanmak,дати кредит довіри,اچھا گمان کرنا,idiom,I’ll give her the benefit of the doubt since she apologized.,To choose to believe someone despite uncertainty.,
Go bananas,يفقد أعصابه,অতিরিক্ত উত্তেজিত হওয়া,發瘋,دیوانه شدن,devenir fou,ausflippen,لېونی کېدل,ficar louco,volverse loco,kuchanganyikiwa,çıldırmak,збожеволіти,پاگل ہو جانا,idiom,The kids went bananas when they saw the puppies.,To become extremely excited or crazy.,
Go the extra mile,يبذل جهداً إضافياً,অতিরিক্ত চেষ্টা করা,額外付出,بیشتر تلاش کردن,faire un effort supplémentaire,die Extrameile gehen,اضافي هڅه کول,ir além,hacer un esfuerzo extra,kujitoa zaidi,fazladan çaba göstermek,докласти додаткових зусиль,اضافی کوشش کرنا,idiom,Great teachers always go the extra mile for students.,To make more effort than expected.,
Go with the flow,يسير مع الظروف,পরিস্থিতির সাথে মানিয়ে চলা,順其自然,همراه جریان رفتن,suivre le mouvement,mit dem Strom schwimmen,د حالاتو سره تلل,deixar acontecer,dejarse llevar,kuendana na hali,akışına bırakmak,плисти за течією,حالات کے ساتھ چلنا,idiom,We didn’t make strict plans on vacation — we just went with the flow.,To adapt casually to situations without resistance.,
Goodwill,شهرة الشركة,সুনাম,商譽,سرقفلی,goodwill,Firmenwert,نیک نامي,goodwill,fondo de comercio,uheshima,maddi olmayan değer,ділова репутація,نیک نام,noun,Goodwill increased valuation.,Intangible reputation value.,
Gregarious,اجتماعي,মিশুক,群居的,اجتماعی,sociable,gesellig,ټولنیز,sociável,sociable,ya kijamii,sosyal,товариський,ملنسار,adjective,She is very gregarious at parties.,Sociable and enjoying company.,
Hackneyed,مبتذل,ক্লিশে,陳腐,کلیشه‌ای,hackneyé,abgedroschen,زاړه خبرې,manido,manido,ya kawaida,bayat,затертий,پرانا,adjective,Hackneyed phrases weaken writing.,Overused and unoriginal.,
Handle,اسم المستخدم,ইউজারনেম,帳號名稱,نام کاربری,pseudo,Benutzername,کارن نوم,nome de usuário,nombre de usuario,jina la mtumiaji,kullanıcı adı,нікнейм,یوزرنیم,noun,Her social media handle is easy to remember.,A username used on social media platforms.,
Hang in there,تماسك,ধৈর্য ধরে থাকো,撐住,تحمل کن,tenir bon,durchhalten,صبر کول,aguentar,resistir,vumilia,dayanmak,тримайся,حوصلہ رکھنا,idiom,Hang in there — things will improve soon.,To remain patient and persistent during difficulties.,
Hang up,يغلق الهاتف,ফোন কেটে দেওয়া,掛斷電話,قطع کردن تماس,raccrocher,auflegen,ټیلیفون بندول,desligar,colgar,kata simu,telefonu kapatmak,покласти слухавку,فون بند کرنا,verb,She accidentally hung up during the conversation.,To end a telephone call.,
Haphazard,عشوائي,এলোমেলো,雜亂無章的,بی‌نظم,désordonné,unkoordiniert,بې ترتیبه,desorganizado,desordenado,ovyo ovyo,dağınık,безладний,بے ترتیب,adjective,The files were arranged in a haphazard manner.,"Lacking organization, planning, or order.",
Hapless,سيء الحظ,দুর্ভাগা,不幸的,بدبخت,malheureux,unglücklich,بدبخته,infeliz,infortunado,mwenye bahati mbaya,şanssız,нещасливий,بدقسمت,adjective,The hapless traveler missed every train.,Unlucky or unfortunate.,
Harangue,خطبة نارية,তীব্র বক্তৃতা,長篇演講,خطابه تند,harangue,Schimpfrede,تقریر,torração,diatriba,hotuba,sert konuşma,вигук,تقریر,noun,A political harangue followed.,Long angry speech.,
Harbinger,نذير,আগাম সংকেত,先兆,پیش‌درآمد,annonciateur,Vorzeichen,نښه,precursor,heraldo,ishara ya mapema,habercı,провісник,پیش خیمہ,noun,Clouds are a harbinger of rain.,Something that signals future events.,
Hashtag,وسم,হ্যাশট্যাগ,主題標籤,هشتگ,hashtag,Hashtag,هشتګ,hashtag,hashtag,alama ya reli,etiket,хештег,ہیش ٹیگ,noun,Add a hashtag so more users can find the post.,A word or phrase preceded by the # symbol used for categorization online.,
Haughty,متعجرف,অহংকারী,傲慢,مغرور,haughty,hochmütig,متکبر,háutain,haughty,mwenye kiburi,kibirli,зазнавчий,متکبر,adjective,His haughty attitude alienated others.,Arrogantly superior.,
Headphones,سماعات رأس,হেডফোন,耳機,هدفون,casque,Kopfhörer,هیډفون,fones de ouvido,auriculares,vifaa vya kusikiliza,kulaklık,навушники,ہیڈفون,noun,I use headphones while studying at the library.,A device worn over the ears for listening to audio.,
Hedging,التحوط,হেজিং,對沖,پوشش ریسک,couverture,Absicherung,محافظت,hedging,cobertura,kinga,hedging,хеджування,ہیجنگ,noun,Hedging reduced risk.,Risk protection strategy.,
Hedonism,اللذة,সুখবাদ,享樂主義,لذت‌گرایی,hédonisme,Hedonismus,لذت,hedonismo,hedonismo,furaha,hedonizm,гедонізм,عیش,noun,Hedonism prioritizes pleasure.,Pleasure-seeking.,
Hegemonic stability,الاستقرار الهيمني,আধিপত্য স্থিতিশীলতা,霸權穩定,ثبات هژمونیک,stabilité hégémonique,hegemoniale Stabilität,د واک ثبات,estabilidade hegemônica,estabilidad hegemónica,utulivu wa nguvu,Hegemonik istikrar,гегемонна стабільність,غالب استحکام,noun,Hegemonic stability declined.,Dominant power maintains order.,
Hegemony,الهيمنة,আধিপত্য,霸權,هژمونی,hégémonie,Hegemonie,واکمني,hegemonia,hegemonía,utawala wa nguvu,Hegemonya,гегемонія,غلبہ,noun,Hegemony shaped politics.,Dominant influence.,
Heinous,شنيع,জঘন্য,兇惡,فجیع,héneux,schändlich,وحشیانه,horrendo,horrendo,ya kutisha,dehşet verici,жахливий,سنگین جرم,adjective,A heinous crime shocked the public.,Horrible or wicked.,
Heretic,هرطوقي,ধর্মবিরোধী,異端,بدعت‌گذار,hérétique,Ketzer,ملحد,herege,hereje,mhalifu,dinsiz,єретик,بدعتی,noun,He was called a heretic.,One who opposes belief.,
Hiatus,فجوة,বিরতি,間隙,وقفه,hiatus,Pause,وقفه,hiato,hiato,pumziko,pauze,перерва,وقفہ,noun,A hiatus occurred in work.,Gap or break.,
Hinder,يعيق,বাধা দেওয়া,阻礙,مانع شدن,entraver,behindern,خنډ اچول,impedir,obstaculizar,kuzuia,engellemek,перешкоджати,رکاوٹ ڈالنا,verb,Noise hindered concentration.,To obstruct.,
Hinge,مفصلة,কবজা,鉸鏈,لولا,charnière,Scharnier,قبضه,dobradiça,bisagra,bawaba,menteşe,шарнір,قبضہ,noun,The hinge on the foldable device feels sturdy.,A movable joint allowing a device to fold.,
Hit the books,يذاكر بجد,মনোযোগ দিয়ে পড়াশোনা করা,用功讀書,درس خواندن شدید,bûcher,pauken,سخت مطالعه کول,estudar muito,ponerse a estudiar,kusoma kwa bidii,inek gibi çalışmak,старанно вчитися,دل لگا کر پڑھنا,idiom,I need to hit the books before the exam tomorrow.,To study seriously and with concentration.,
Hit the nail on the head,أصاب كبد الحقيقة,একদম ঠিক বলা,一針見血,دقیق گفتن,taper dans le mille,den Nagel auf den Kopf treffen,سمه خبره کول,acertar em cheio,dar en el clavo,kusema sahihi,tam üstüne basmak,влучити в точку,بالکل صحیح کہنا,idiom,Your explanation really hit the nail on the head.,To describe something exactly correctly.,
Hit the road,يغادر,রওনা হওয়া,上路,راه افتادن,prendre la route,losfahren,سفر پيلول,pegar a estrada,emprender camino,kuondoka,yola çıkmak,вирушати,روانہ ہونا,idiom,We should hit the road before traffic gets worse.,To leave or begin a journey.,
Hit the sack,يذهب للنوم,ঘুমাতে যাওয়া,去睡覺,خوابیدن,aller au lit,in die Heia gehen,ويده کېدل,ir dormir,irse a dormir,kwenda kulala,yatmaya gitmek,лягати спати,سونے جانا,idiom,I’m exhausted — I’m going to hit the sack early tonight.,To go to bed.,
Homogeneous,متجانس,সমজাতীয়,同質,همگن,homogène,homogen,همجنس,homogêneo,homogéneo,sawa,homojen,однорідний,یکساں,adjective,A homogeneous mixture formed.,Uniform in composition.,
Humanitarian intervention,التدخل الإنساني,মানবিক হস্তক্ষেপ,人道干預,مداخله بشردوستانه,intervention humanitaire,humanitäre Intervention,بشري مداخله,intervenção humanitária,intervención humanitaria,uingiliaji wa kibinadamu,insani müdahale,гуманітарне втручання,انسانی مداخلت,noun,Humanitarian intervention occurred.,Intervention for human rights.,
Hypothesis,فرضية,অনুমান,假設,فرضیه,hypothèse,Hypothese,فرضیه,hipótese,hipótesis,dhana,hipotez,гіпотеза,مفروضہ,noun,The hypothesis was tested in the lab.,A proposed explanation to test.,
Iconoclast,محطم الأصنام,প্রচলিত বিরোধী,反傳統者,شکستنِ سنت‌ها,iconoclaste,Ikonoklast,روایت شکن,iconoclasta,iconoclasta,mpingaji wa mila,gelenek yıkıcı,іконоборець,روایت شکن,noun,The writer was an iconoclast.,One who challenges established beliefs.,
Iconoclastic,ضد تقليدي,প্রচলিত বিরোধী,反傳統,شکستن سنت,iconoclaste,ikonoklastisch,روایت شکن,iconoclasta,iconoclasta,mpinga mila,gelenek yıkıcı,іконоборчий,روایت شکن,adjective,He has iconoclastic views.,Challenging tradition.,
Ideology,أيديولوجية,বিচারধারা,意識形態,ایدئولوژی,idéologie,Ideologie,نظریه,ideologia,ideología,itikadi,ideoloji,ідеологія,نظریہ,noun,Political ideology matters.,System of beliefs.,
Ignominious,مخز,লজ্জাজনক,恥辱,رسوا,ignominieux,schmachvoll,رسوا,ignominioso,ignominioso,ya aibu,utanç verici,ганебний,شرمناک,adjective,An ignominious defeat followed.,Shameful.,
Imminent,وشيك,নিকটবর্তী,即將發生,نزدیک,imminent,bevorstehend,نژدې,imminente,inminente,kukaribia,yakın,неминучий,قریب,adjective,A storm is imminent.,About to happen.,
Immutable,غير قابل للتغيير,অপরিবর্তনীয়,不可改變,تغییرناپذیر,immuable,unveränderlich,نه بدلېدونکی,imutável,inmutable,ambayo haiwezi kubadilika,un değişmez,незмінний,ناقابلِ تبدیلی,adjective,Laws seemed immutable.,Unchangeable.,
Impartial,محايد,নিরপেক্ষ,公平的,بی‌طرف,impartial,unparteiisch,بې پرې,imparcial,imparcial,haki tarafsız,бейсторонній,غیر جانبدار,adjective,The judge must be impartial.,Unbiased.,,
Impeachment,عزل,অভিশংসন,彈劾,استیضاح,destitution,Amtsenthebung,برطرفي,impeachment,destitución,kuondolewa,Görevden alma,імпічмент,عہدے سے ہٹانا,noun,Impeachment was initiated.,Removal process.,
Impeccable,لا تشوبه شائبة,নিখুঁত,無可挑剔的,بی‌نقص,impeccable,makellos,بې عیبه,impecável,impecable,isiyo na dosari,kusursuz,бездоганний,بے عیب,adjective,Her impeccable manners impressed the guests.,Perfect and without mistakes or faults.,
Impecunious,فقير,দরিদ্র,貧窮,بی‌پول,impecunieux,mittellos,بې پيسه,impecunioso,impecunioso,maskini,fakir,безгрошовий,غریب,adjective,An impecunious student struggled.,Poor.,
Impede,يعرقل,বাধা দেওয়া,阻礙,مانع شدن,empêcher,behindern,خنډ کول,impedir,impedir,kuzuia,engellemek,перешкоджати,رکاوٹ ڈالنا,verb,Rain impeded progress.,To slow or block.,
Imperialism,الإمبريالية,সাম্রাজ্যবাদ,帝國主義,امپریالیسم,impérialisme,Imperialismus,امپریالیزم,imperialismo,imperialismo,ubeberu,emperyalizm,імперіалізм,سامراجیت,noun,Imperialism expanded control.,Expansion of power.,
Impetuous,متهور,হঠকারী,衝動,شتابزده,impétueux,ungestüm,بېړه کوونکی,impetuoso,impetuoso,mwenye pupa,düşüncesiz,імпульсивний,جلد باز,adjective,An impetuous decision was made.,Acting without thought.,
Impetus,دافع,প্রেরণা,推動力,انگیزه,impulsion,Anstoß,تحریک,impulso,impulso,msukumo,itici güç,імпульс,تحریک,noun,The speech gave impetus to reform.,Momentum or driving force.,
Implicit,ضمني,অন্তর্নিহিত,隱含的,ضمنی,implicite,implizit,ضمني,implícito,implícito,ya kueleweka bila kusema,dolaylı,неявний,ضمنی,adjective,There was implicit trust.,Implied though not stated.,
Impugn,يطعن في,প্রশ্ন করা,質疑,زیر سوال بردن,mettre en doute,anzweifeln,چيلنج کول,impugnar,impugnar,kupinga,sorgulamak,ставити під сумнів,چیلنج کرنا,verb,They impugn his motives.,To challenge validity.,
Impulse buy,شراء اندفاعي,হঠাৎ কেনাকাটা,衝動購物,خرید ناگهانی,achat impulsif,Impulskauf,ناڅاپي پېرود,compra por impulso,compra impulsiva,ununuzi wa papara,dürtüsel satın alma,імпульсивна покупка,جذباتی خریداری,noun,The expensive headphones were an impulse buy at the checkout counter.,A purchase made suddenly without prior planning.,
In hot water,في ورطة,বিপদে পড়া,陷入麻煩,به دردسر افتادن,avoir des ennuis,in Schwierigkeiten sein,په ستونزه کې وي,em apuros,en problemas,kuwa matatani,başını belaya sokmak,мати проблеми,مصیبت میں ہونا,idiom,He’s in hot water after missing another deadline.,To be in trouble or facing criticism.,
In no time,بسرعة كبيرة,অল্প সময়ে,很快,خیلی سریع,en un rien de temps,im Handumdrehen,ډېر ژر,em pouco tempo,en poco tiempo,haraka sana,hemen,миттєво,جلدی,idiom,We finished the project in no time.,Very quickly or soon.,
In the long run,على المدى الطويل,দীর্ঘমেয়াদে,從長遠來看,در بلندمدت,à long terme,langfristig,په اوږده موده کې,a longo prazo,a largo plazo,baadaye,uzun vadede,у довгостроковій перспективі,طویل مدت میں,idiom,Saving money regularly helps in the long run.,Over a long period of time eventually.,
Inbox zero,صفر رسائل واردة,ইনবক্স জিরো,收件匣歸零,صفر شدن صندوق ورودی,boîte de réception vide,Posteingang null,تش صندوق ورودي,caixa de entrada vazia,bandeja vacía,kikasha tupu,gelen kutusu sıfır,порожня скринька,خالی ان باکس,noun,She practices inbox zero to stay organized at work.,A productivity method focused on keeping email inboxes empty or nearly empty.,
Incessant,متواصل,নিরবচ্ছিন্ন,持續不斷,بی‌وقفه,incessant,unaufhörlich,پرله‌پسې,incessante,incesante,ya mara kwa mara,sürekli,безперервний,مسلسل,adjective,Incessant noise disturbed sleep.,Unending.,
Inchoate,بدائي,অপূর্ণ,未成形,ناقص,inchoatif,unausgereift,نا بشپړ,incoativo,incoativo,ya mwanzo,olgunlaşmamış,незрілий,نامکمل,adjective,Inchoate ideas formed.,Not fully developed.,
Incisive,حاد,তীক্ষ্ণ,犀利,تیز,incisif,scharf,تیز,incisivo,incisivo,makali,keskin,різкий,تیز,adjective,She gave an incisive analysis.,Clear and sharp.,
Incongruous,غير متناسق,অসামঞ্জস্যপূর্ণ,不協調,ناهماهنگ,incongru,inkongruent,نامتناسب,incongruente,incongruente,isiyoendana,uyumsuz,недоречний,غیر موزوں,adjective,The tone felt incongruous.,Not in harmony.,
Incredulous,مشكك,অবিশ্বাসী,難以置信,باورناپذیر,incrédule,ungläubig,بې باوره,incrédulo,incrédulo,asiyesadiki,inanmaz,недовірливий,بے یقین,adjective,He looked incredulous.,Unable to believe.,
Incumbent,شاغل المنصب,বর্তমান পদধারী,現任者,مقام‌دار,incumbent,Amtsträger,موجوده,incumbente,incumbente,mshikilia nafasi,yerleşik görevli,чинний,موجودہ,holder of office,The incumbent won again.,Current office holder.,
Indemnify,يعوض,ক্ষতিপূরণ প্রদান করা,賠償,غرامت دادن,indemniser,entschädigen,تاوان ورکول,indenizar,indemnizar,kufidia,tazmin etmek,відшкодовувати,ہرجانہ دینا,verb,The supplier agreed to indemnify the retailer against losses.,"To compensate for harm, damage, or financial loss.",
Indict,يتهم,অভিযোগ করা,起訴,متهم کردن,inculper,anklagen,ملزم کول,indiciar,inculpar,kushtaki,iddianame açmak,звинувачувати,الزام لگانا,verb,He was indicted for fraud.,To formally accuse.,
Indifferent,غير مبالٍ,উদাসীন,冷漠,بی‌تفاوت,indifférent,gleichgültig,بې پروا,indiferente,indiferente,kutojali,duygusuz,байдужий,لاپروا,adjective,They were indifferent to the outcome.,Not caring.,
Indispensable,لا غنى عنه,অপরিহার্য,不可或缺,ضروری,indispensable,unentbehrlich,نه بېل کېدونکی,indispensável,indispensable,muhimu sana,vazgeçilmez,незамінний,لازمی,adjective,Water is indispensable to life.,Absolutely necessary.,
Indolent,كسول,অলস,懶惰,تنبل,indolent,träge,سست,indolente,indolente,mvivu,tembel,ледачий,سست,adjective,He led an indolent life.,Lazy.,
Inductor,ملف حثي,ইন্ডাক্টর,電感器,سلف,inductance,Induktor,برقي کویل,indutor,inductor,koili ya umeme,endüktör,індуктор,انڈکٹر,noun,The inductor helps regulate current changes.,An electrical component that stores energy in a magnetic field.,
Ineluctable,لا مفر منه,অপরিহার্য,不可避免,اجتناب‌ناپذیر,inéluctable,unvermeidlich,نه تېښته,inelutável,ineludible,ya lazima,kaçınılmaz,неминучий,لازمی,adjective,An ineluctable outcome occurred.,Inevitable.,
Inert,خامل,নিষ্ক্রিয়,惰性,غیرفعال,inert,inert,غیر فعال,inerte,inerte,isiyo tendaji,etkisiz,інертний,غیر فعال,adjective,The gas is inert.,Inactive or non-reactive.,
Infallible,معصوم عن الخطأ,অভুল,絕對正確,خطاناپذیر,infaillible,unfehlbar,بې خطا,infalible,infalible,isiyokosea,hatasız,непомильний,غلطی سے پاک,adjective,No system is infallible.,Unable to be wrong.,
Inflation rate,معدل التضخم,মুদ্রাস্ফীতি হার,通貨膨脹率,نرخ تورم,taux d'inflation,Inflationsrate,د انفلاسیون کچه,taxa de inflação,tasa de inflación,kiwango cha mfumuko wa bei,enflasyon oranı,рівень інфляції,مہنگائی کی شرح,noun,Inflation rate rose.,Price increase measure.,
Influencer,مؤثر على وسائل التواصل,ইনফ্লুয়েন্সার,網紅,اینفلوئنسر,influenceur,Influencer,اغېزمن کس,influenciador,influencer,mshawishi,fenomen,інфлюенсер,انفلوئنسر,noun,The influencer promoted the skincare brand online.,A person who affects audience opinions through social media presence.,
Infrastructure,البنية التحتية,অবকাঠামো,基礎設施,زیرساخت,infrastructure,Infrastruktur,زیربنا,infraestrutura,infraestructura,miundombinu,altyapı,інфраструктура,بنیادی ڈھانچہ,noun,Investment in infrastructure grew.,Basic systems.,
Ingredient,مكون,উপকরণ,食材,ماده اولیه,ingrédient,Zutat,جز,ingrediente,ingrediente,kiungo,malzeme,інгредієнт,اجزاء,noun,Flour is the main ingredient in the recipe.,One of the foods or substances used to make something.,
Inhibit,يمنع,নিরোধ করা,抑制,مهار کردن,inhiber,hemmen,مخنیوی,inibir,inhibir,kuzuia,baskılamak,гальмувати,روکنا,verb,Fear inhibits creativity.,To restrain or prevent.,
Inimical,معادٍ,শত্রুভাবাপন্ন,敵對,دشمن,inimical,feindlich,دښمن,inimigo,inimical,ya uadui,düşmanca,ворожий,دشمن,adjective,Conditions were inimical.,Hostile.,
Injunction,أمر قضائي,নিষেধাজ্ঞামূলক আদালতের আদেশ,禁制令,حکم قضایی,injonction,einstweilige Verfügung,محکمې حکم,injunção,mandato judicial,amri ya mahakama,ihtiyati tedbir,судова заборона,عدالتی حکم,noun,The judge issued an injunction preventing the merger.,A court order requiring or prohibiting a specific action.,
Innocuous,غير مؤذ,ক্ষতিকর নয়,無害,بی‌ضرر,inoffensif,harmlos,بې ضرر,inofensivo,inocuo,isiyo na madhara,zararsız,нешкідливий,غیر مضر,adjective,Innocuous comments caused no harm.,Harmless.,
Insatiable,لا يشبع,অতৃপ্ত,不滿足,سیری‌ناپذیر,insatiable,unersättlich,نه سیرېدونکی,insaciável,insaciable,hajitosheki,doyumsuz,ненаситний,نا قابلِ تسکین,adjective,She had an insatiable curiosity.,Cannot be satisfied.,
Inscrutable,غامض,অবোধগম্য,高深莫測,غیرقابل فهم,inscrutable,undurchschaubar,نه لوستل کېدونکی,insondável,inscrutable,ya kushangaza,anlaşılmaz,незбагненний,پراسرار,adjective,An inscrutable expression remained.,Mysterious.,
Insidious,خبيث,ধীরে ক্ষতিকর,陰險,موذی,insidieux,heimtückisch,پټه خطرناک,insidioso,insidioso,ya hila,kurnazca,підступний,خفیہ نقصان دہ,adjective,Insidious disease spread slowly.,Gradually harmful.,
Insipid,باهت,নীরস,乏味,بی‌مزه,insipide,lau,بې خونده,insípido,insípido,bila ladha,lezzetsiz,нудний,بے ذائقہ,adjective,Insipid speech bored listeners.,Lacking flavor or interest.,
Insolvency,الإعسار,দেউলিয়াত্ব,無力償債,ورشکستگی,insolvabilité,Insolvenz,افلاس,insolvência,insolvencia,ufilisika,iflas,неплатоспроможність,دیوالیہ پن,noun,The company entered insolvency proceedings after years of debt.,The condition of being unable to pay debts.,
Insular,معزول,বিচ্ছিন্ন,孤立的,جزیره‌ای,insulaire,insular,جدا,insular,insular,ya kujitenga,kapalı,острівний,تنہائی پسند,adjective,Their views were insular.,Isolated or narrow-minded.,
Insurrection,تمرد,বিদ্রোহ,起義,شورش,insurrection,Aufstand,بغاوت,insurreição,insurrección,uasi,ayaklanma,повстання,بغاوت,noun,An insurrection began.,Uprising against authority.,
Interest rate,سعر الفائدة,সুদের হার,利率,نرخ بهره,taux d'intérêt,Zinssatz,د سود کچه,taxa de juros,tasa de interés,riba,r faiz oranı,відсоткова ставка,شرح سود,noun,Interest rates increased.,Cost of borrowing.,
Intermittent,متقطع,মাঝে মাঝে,間歇,متناوب,intermittent,unterbrochen,وقفه دار,intermitente,intermitente,kwa vipindi,aralıklı,переривчастий,وقفے وقفے سے,adjective,Intermittent rain fell.,Occurring irregularly.,
Interventionism,التدخلية,হস্তক্ষেপবাদ,干預主義,مداخله‌گرایی,interventionnisme,Interventionismus,مداخله‌ګري,intervencionismo,intervencionismo,uingiliaji,intervansiyonizm,інтервенціонізм,مداخلت پسندی,noun,Interventionism increased globally.,Policy of interference.,
Intractable,عصيب,অদম্য,難以處理,حل‌ناپذیر,intraitable,schwierig,سخت,ingovernável,intratável,kushindwa,kontrol edilemez,непіддатливий,مشکل,adjective,An intractable problem remained.,Difficult to manage.,
Intransigent,عنيد,অকাট্য,不妥協,لجوج,intransigeant,unversöhnlich,سخت,intransigente,intransigente,mkaidi,uzlaşmaz,непоступливий,ضد,adjective,Intransigent positions blocked talks.,Unyielding.,
IPO (Initial Public Offering),طرح عام أولي,প্রাথমিক গণপ্রস্তাব,首次公開募股,عرضه اولیه,entrée en bourse,IPO,ابتدایی عام عرضه,IPO,IPO,hisa ya kwanza,hisse arzı,IPO,ابتدائی عوامی پیشکش,noun,The IPO raised capital.,First stock market listing.,
Irascible,سريع الغضب,খিটখিটে,易怒,زودخشم,irascible,jähzornig,تندخوی,irascível,irascible,hasira,patlamaya hazır,дратівливий,غضبناک,adjective,An irascible boss shouted.,Easily angered.,
Irredentism,الاسترداد,ভূমি পুনরুদ্ধারবাদ,復興主義,تمامیت‌خواهی سرزمینی,irrédentisme,Irredentismus,ځمکنۍ ادعا,irredentismo,irredentismo,madai ya ardhi,irredantizm,ірредентизм,زمین واپسی,noun,Irredentism caused conflict.,Claiming lost territory.,
It rings a bell,يبدو مألوفًا,পরিচিত মনে হওয়া,聽起來很熟悉,آشنا به نظر رسیدن,ça me dit quelque chose,das kommt mir bekannt vor,اشنا ښکاري,soa familiar,me suena,conocido,kulağa tanıdık gelmek,здається знайомим,مانوس لگنا,idiom,"His name rings a bell, but I can’t remember where we met.",To sound familiar or recognizable.,
Jettison,التخلص من,ফেলে দেওয়া,拋棄,دور انداختن,jeter,über Bord werfen,غورځول,descartar,desechar,kutupa,atmak,викидати,پھینک دینا,verb,They jettison unnecessary ideas.,To discard or abandon.,
Jump to conclusions,يتسرع في الاستنتاج,তাড়াহুড়ো করে সিদ্ধান্ত নেওয়া,妄下結論,زود قضاوت کردن,tirer des conclusions hâtives,voreilige Schlüsse ziehen,ژر نتيجه اخيستل,tirar conclusões precipitadas,sacar conclusiones rápidas,kutoa hitimisho haraka,hemen sonuca varmak,робити поспішні висновки,جلدی نتیجہ نکالنا,idiom,Don’t jump to conclusions before hearing the full story.,To form an opinion without enough information.,
Jurisdiction,الاختصاص القضائي,আদালতের এখতিয়ার,司法管轄權,صلاحیت قضایی,Gouvernance,Zuständigkeit,قضايي واک,jurisdição,jurisdicción,mamlaka,yargı yetkisi,юрисдикція,دائرہ اختیار,noun,The court lacked jurisdiction over the international dispute.,The official legal authority to make decisions or judgments.,
Juxtapose,يضع بجانب,একসাথে রাখা,並置,کنار هم قرار دادن,juxtaposer,nebeneinanderstellen,څنګ ته ایښودل,justapor,yuxtaponer,kulinganisha,pankratmak,зіставляти,مقابل رکھنا,verb,The film juxtaposes past and present.,To place side by side for contrast.,
Juxtaposition,مقابلة,মিলন,並置,کنار هم قرار دادن,juxtaposition,Nebeneinanderstellung,هم‌جوړونه,yuxtaposición,yuxtaposición,kulinganisha,kıyaslama,зіставлення,مقابلہ,noun,The juxtaposition highlights contrast.,Placing side by side.,
Keep an eye on,يراقب,খেয়াল রাখা,留意,مراقب بودن,surveiller,im Auge behalten,پام کول,ficar de olho,echar un ojo,kufuatilia,göz kulak olmak,стежити,نظر رکھنا,idiom,Can you keep an eye on my bag for a minute?,To watch or monitor something carefully.,
Keep in touch,يبقى على تواصل,যোগাযোগ রাখা,保持聯絡,در تماس ماندن,rester en contact,in Kontakt bleiben,په اړيکه کې پاتې کېدل,manter contato,mantener contacto,endelea kuwasiliana,iletişimde kalmak,залишатися на зв’язку,رابطے میں رہنا,idiom,Let’s keep in touch after graduation.,To continue communicating with someone.,
Keep your fingers crossed,يتمنى الحظ الجيد,সৌভাগ্য কামনা করা,祈求好運,امیدوار بودن,croiser les doigts,die Daumen drücken,هيله لرل,torcer os dedos,cruzar los dedos,kutamani bahati nzuri,parmaklarını çapraz yapmak,тримати кулаки,اچھے کی امید رکھنا,idiom,Keep your fingers crossed that the weather stays nice this weekend.,To hope strongly for good luck or success.,
Kernel,النواة,কার্নেল,核心,هسته,noyau,Kernel,اصلي سيستم,núcleo,núcleo,kiini çekirdek,ядро,کرنل,noun,The operating system kernel manages hardware resources.,The central core of an operating system.,,
Know the ropes,يعرف التفاصيل,সবকিছু জানা,熟悉門道,وارد بودن,die ficelles du métier kennen,sich auskennen,په کار پوهېدل,conhecer o funcionamento,saber cómo funciona,kujua mfumo,işi bilmek,знати всі тонкощі,کام کی سمجھ ہونا,idiom,Ask Maria for help — she knows the ropes around here.,To understand how something works from experience.,
